,title,artist,year,bpm,energy,danceability,dB,liveness,valence,duration,acousticness,speechiness,popularity,genre
63,Boom Boom,RedOne,2018,110,76,75,-8,20,58,248,0,5,53,moroccan pop
64,Good as Hell (feat. Ariana Grande) - Remix,Lizzo,2019,96,89,67,-3,74,48,159,30,6,90,escape room
65,Like A G6,Far East Movement,2010,125,84,44,-8,12,78,217,1,45,72,dance pop
66,Stitches,Shawn Mendes,2015,150,75,75,-7,5,76,207,2,7,78,canadian pop
67,Overdose,Ciara,2013,107,70,77,-6,6,79,227,1,3,43,dance pop
68,Mmm Yeah (feat. Pitbull),Austin Mahone,2014,126,92,71,-4,27,98,232,0,4,65,dance pop
69,Do You Wanna Come Over?,Britney Spears,2016,121,70,75,-6,11,45,203,1,7,34,dance pop
70,Perfect Duet (Ed Sheeran & Beyoncé),Ed Sheeran,2018,95,30,59,-7,12,36,260,78,3,78,pop
71,I Dont Wanna Live Forever (Fifty Shades Darker),ZAYN,2017,118,45,74,-8,33,9,245,6,6,78,dance pop
72,Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran,2019,95,79,75,-6,7,61,206,21,12,75,pop
73,I'll Show You,Justin Bieber,2015,192,61,36,-7,18,8,200,5,10,68,canadian pop
74,Next To Me,Emeli Sandé,2013,95,80,67,-5,11,35,197,9,4,60,dance pop
75,Dangerous,Jennifer Hudson,2015,109,53,90,-5,8,65,255,0,5,18,dance pop
76,We R Who We R,Kesha,2011,120,82,74,-5,12,65,205,1,4,72,dance pop
77,A Thousand Years,Christina Perri,2011,139,41,42,-7,11,16,285,31,3,81,dance pop
78,Love Somebody,Maroon 5,2013,120,78,68,-6,12,40,230,13,4,65,pop
79,Supernova,Ansel Elgort,2018,140,62,77,-5,21,68,191,6,10,72,dance pop
80,Lay It All on Me,Rudimental,2015,123,75,67,-7,19,48,242,14,4,62,dance pop
81,Wherever I Go,OneRepublic,2016,100,69,55,-6,27,35,170,9,4,66,dance pop
82,human,Christina Perri,2014,144,49,44,-6,11,25,251,13,4,68,dance pop
83,Pep Rally,Missy Elliott,2016,90,75,83,-4,20,32,263,22,12,47,dance pop
84,"Me, Myself & I",G-Eazy,2016,112,67,76,-7,16,38,251,2,10,78,hip hop
85,Rise,Katy Perry,2016,101,64,55,-6,11,44,203,5,5,66,dance pop
86,Just Give Me a Reason (feat. Nate Ruess),P!nk,2013,95,55,78,-7,13,44,243,35,5,81,dance pop
87,Lay It All on Me,Rudimental,2015,123,75,67,-7,19,48,242,14,4,62,dance pop
88,Final Song,MØ,2016,105,67,70,-6,8,25,236,1,3,72,dance pop
89,Bad Liar,Selena Gomez,2018,121,41,97,-6,8,73,215,19,7,75,dance pop
90,Thrift Shop (feat. Wanz),Macklemore & Ryan Lewis,2013,95,53,78,-7,5,66,236,6,29,69,dance pop
91,Yesterday (feat. Bebe Rexha),David Guetta,2015,128,78,57,-4,33,28,243,2,3,46,dance pop
92,The Hills,The Weeknd,2015,113,56,58,-7,14,14,242,7,5,84,canadian contemporary r&b
93,Higher,Carly Rae Jepsen,2016,114,87,65,-5,37,44,234,1,6,46,canadian pop
94,I Wanna Go,Britney Spears,2011,130,55,70,-7,33,79,210,0,4,64,dance pop
95,Dynamite,Taio Cruz,2010,120,78,75,-4,4,82,203,0,9,77,dance pop
96,American Oxygen,Rihanna,2015,78,75,39,-6,33,48,320,5,9,61,barbadian pop
97,DJ Got Us Fallin' In Love (feat. Pitbull),Usher,2010,120,86,66,-3,8,65,221,3,11,52,atl hip hop
98,"Hey, Soul Sister",Train,2010,97,89,67,-4,8,80,217,19,4,83,neo mellow
99,Summer Bummer (feat. A$AP Rocky & Playboi Carti),Lana Del Rey,2017,135,57,76,-9,20,14,261,2,13,67,art pop
100,Marry The Night,Lady Gaga,2011,131,88,61,-4,46,38,265,0,6,61,dance pop
101,Paris,The Chainsmokers,2017,100,64,65,-7,9,25,222,2,3,76,electropop
102,"Girls (feat. Cardi B, Bebe Rexha & Charli XCX)",Rita Ora,2018,94,69,73,-4,10,42,221,2,5,64,dance pop
103,That's What I Like,Bruno Mars,2017,134,56,85,-5,9,86,207,1,4,83,pop
104,Rude,MAGIC!,2014,144,76,77,-5,31,93,225,4,4,79,pop
105,See You Again (feat. Charlie Puth),Wiz Khalifa,2015,80,48,69,-8,6,28,230,37,8,56,hip hop
106,"Hold On, We're Going Home",Drake,2013,100,41,77,-7,7,29,228,0,10,73,canadian hip hop
107,Words as Weapons,Birdy,2014,120,35,53,-9,14,19,239,28,3,44,neo mellow
108,Play Hard (feat. Ne-Yo & Akon) - New Edit,David Guetta,2013,130,87,72,-3,66,68,209,4,4,67,dance pop
109,Higher,Carly Rae Jepsen,2016,114,87,65,-5,37,44,234,1,6,46,canadian pop
110,Try,P!nk,2012,104,63,67,-7,9,55,248,0,3,74,dance pop
111,Sucker,Jonas Brothers,2019,138,73,84,-5,11,95,181,4,6,86,boy band
112,Roar,Katy Perry,2013,180,77,55,-5,35,46,224,0,4,78,dance pop
113,Sing,Ed Sheeran,2015,120,67,82,-4,6,94,235,30,5,71,pop
114,We Don't Talk Anymore - DROELOE Remix,Charlie Puth,2017,100,82,70,-5,45,67,218,49,22,59,dance pop
115,Love Yourself,Justin Bieber,2015,100,38,61,-10,28,52,234,84,44,83,canadian pop
116,Hold It Against Me,Britney Spears,2011,133,72,65,-5,24,39,229,1,4,59,dance pop
117,There's Nothing Holdin' Me Back,Shawn Mendes,2018,122,81,87,-4,8,97,199,38,6,84,canadian pop
118,Living For Love,Madonna,2015,123,79,67,-5,25,39,219,4,9,52,dance pop
119,Shape of You,Ed Sheeran,2017,96,65,83,-3,9,93,234,58,8,87,pop
120,Spark The Fire,Gwen Stefani,2015,120,80,88,-4,20,54,202,8,6,39,dance pop
121,Problem,Ariana Grande,2014,103,81,66,-5,16,63,194,2,15,75,dance pop
122,Drunk in Love,Beyoncé,2014,140,62,59,-7,18,40,323,1,5,52,dance pop
123,A Thousand Years,Christina Perri,2011,139,41,42,-7,11,16,285,31,3,81,dance pop
124,A Little Party Never Killed Nobody (All We Got),Fergie,2013,130,62,76,-6,9,52,241,1,18,65,dance pop
125,Finesse - Remix; feat. Cardi B,Bruno Mars,2018,105,86,70,-5,2,93,217,2,10,78,pop
126,"Hey, Soul Sister",Train,2010,97,89,67,-4,8,80,217,19,4,83,neo mellow
127,Cool Girl,Tove Lo,2016,102,69,67,-7,8,20,199,31,11,69,dance pop
128,...Ready For It? - BloodPop® Remix,Taylor Swift,2018,160,84,58,-5,10,50,190,13,22,52,pop
129,Not Myself Tonight,Christina Aguilera,2010,120,81,76,-5,56,54,186,0,4,55,dance pop
130,Touch (feat. Kid Ink),Little Mix,2017,102,75,64,-4,49,53,203,4,11,59,dance pop
131,Too Good,Drake,2016,118,65,79,-8,10,39,263,5,10,74,canadian hip hop
132,Try,P!nk,2012,104,63,67,-7,9,55,248,0,3,74,dance pop
133,Take Back the Night,Justin Timberlake,2013,107,66,59,-5,64,33,353,4,16,54,dance pop
134,Bloodstream,Ed Sheeran,2015,89,59,48,-6,6,27,309,20,5,52,pop
135,Alive,Sia,2015,100,76,51,-4,11,44,264,25,5,61,australian dance
136,Sexy And I Know It,LMFAO,2011,130,86,71,-4,19,80,199,10,32,67,dance pop
137,This Is What You Came For,Calvin Harris,2016,124,93,63,-3,15,47,222,20,3,80,dance pop
138,Wild Thoughts (feat. Rihanna & Bryson Tiller),DJ Khaled,2018,98,67,67,-3,12,63,204,3,7,76,dance pop
139,Tell Me You Love Me - NOTD Remix,Demi Lovato,2018,102,77,58,-5,9,76,182,5,8,44,dance pop
140,Rise,Katy Perry,2016,101,64,55,-6,11,44,203,5,5,66,dance pop
141,Drunk in Love,Beyoncé,2014,140,62,59,-7,18,40,323,1,5,52,dance pop
142,Not Myself Tonight,Christina Aguilera,2010,120,81,76,-5,56,54,186,0,4,55,dance pop
143,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2017,102,76,72,-4,18,74,251,41,5,78,dance pop
144,Tell Me You Love Me - NOTD Remix,Demi Lovato,2018,102,77,58,-5,9,76,182,5,8,44,dance pop
145,I Got You,Bebe Rexha,2016,98,89,61,-5,9,32,192,5,5,64,dance pop
146,NO,Meghan Trainor,2016,92,80,56,-4,74,65,214,1,22,70,dance pop
147,Never Forget You,Zara Larsson,2015,146,73,58,-6,27,28,213,0,5,77,dance pop
148,Talk Dirty (feat. 2 Chainz),Jason Derulo,2014,100,65,76,-7,31,76,178,3,23,68,dance pop
149,Blow,Kesha,2011,120,73,75,-4,7,81,220,0,4,64,dance pop
150,Drunk in Love,Beyoncé,2014,140,62,59,-7,18,40,323,1,5,52,dance pop
151,NO,Meghan Trainor,2016,92,80,56,-4,74,65,214,1,22,70,dance pop
152,Señorita,Shawn Mendes,2019,117,54,76,-6,9,75,191,4,3,95,canadian pop
153,I Love It (feat. Charli XCX),Icona Pop,2013,126,91,71,-3,15,82,157,1,3,67,candy pop
154,"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack",The Weeknd,2015,120,38,66,-6,10,44,252,39,3,79,canadian contemporary r&b
155,Atlas - From The Hunger Games: Catching Fire Soundtrack,Coldplay,2013,136,45,28,-8,11,11,236,63,3,55,permanent wave
156,Light It Up (feat. Nyla & Fuse ODG) [Remix],Major Lazer,2016,108,88,75,-4,23,75,166,4,7,73,dance pop
157,Mi Gente (feat. Beyoncé),J Balvin,2018,105,72,76,-6,23,47,210,2,8,68,latin
158,IDGAF,Dua Lipa,2018,97,54,84,-6,8,51,218,4,9,84,dance pop
159,Right Now - Dyro Radio Edit,Rihanna,2013,130,74,53,-6,24,45,186,0,4,42,barbadian pop
160,Want To,Dua Lipa,2018,92,69,57,-5,6,32,212,8,12,67,dance pop
161,Only Human,Jonas Brothers,2019,94,50,80,-6,6,87,183,11,7,87,boy band
162,Move,Little Mix,2013,121,74,85,-5,55,77,224,0,9,63,dance pop
163,Call Me Maybe,Carly Rae Jepsen,2012,120,58,78,-7,11,66,193,1,4,76,canadian pop
164,Made In The USA,Demi Lovato,2013,87,86,58,-4,32,59,196,0,4,60,dance pop
165,Can't Remember to Forget You (feat. Rihanna),Shakira,2014,138,81,69,-4,14,82,207,12,7,62,colombian pop
166,Influence,Tove Lo,2017,105,59,77,-10,11,33,225,10,5,54,dance pop
167,On My Mind,Ellie Goulding,2015,155,71,70,-7,9,74,213,26,5,65,dance pop
168,Hello,Martin Solveig,2010,128,98,67,-3,10,45,191,1,3,0,big room
169,Dangerous Woman,Ariana Grande,2016,134,60,66,-5,36,29,236,5,4,78,dance pop
170,Hold It Against Me,Britney Spears,2011,133,72,65,-5,24,39,229,1,4,59,dance pop
171,Tired,Alan Walker,2017,124,88,69,-4,15,49,192,4,6,70,electro house
172,1+1,Beyoncé,2011,63,38,30,-7,7,26,274,38,3,60,dance pop
173,In the Name of Love,Martin Garrix,2016,134,52,50,-6,45,17,196,11,4,81,big room
174,Final Song,MØ,2016,105,67,70,-6,8,25,236,1,3,72,dance pop
175,Perfect,One Direction,2015,100,82,65,-5,12,40,230,6,8,55,boy band
176,Payphone,Maroon 5,2012,110,75,74,-5,29,55,231,2,4,79,pop
177,If I Lose Myself - Alesso vs OneRepublic,OneRepublic,2013,126,75,52,-6,14,16,215,26,4,69,dance pop
178,We Are Never Ever Getting Back Together,Taylor Swift,2013,86,68,63,-6,12,75,193,1,9,75,pop
179,She Looks So Perfect,5 Seconds of Summer,2014,160,95,49,-4,33,44,202,0,13,71,boy band
180,Wings,Birdy,2014,83,71,47,-5,16,22,252,8,3,62,neo mellow
181,Perfect,One Direction,2015,100,82,65,-5,12,40,230,6,8,55,boy band
182,Stay,Zedd,2017,102,62,69,-5,12,54,210,25,6,80,complextro
183,A Little Party Never Killed Nobody (All We Got),Fergie,2014,130,62,76,-6,9,52,241,1,18,65,dance pop
184,Stay With Me,Sam Smith,2014,84,42,42,-6,11,18,173,59,4,85,pop
185,Part Of Me,Katy Perry,2012,130,92,68,-5,7,77,216,0,4,71,dance pop
186,Giant (with Rag'n'Bone Man),Calvin Harris,2019,122,89,81,-4,8,61,229,2,4,84,dance pop
