,title,artist,year,bpm,energy,danceability,dB,liveness,valence,duration,acousticness,speechiness,popularity,genre
705,Just Cant Get Enough,The Black Eyed Peas,2011,94,63,66,-9,11,26,219,19,18,71,dance pop
706,Thinking out Loud,Ed Sheeran,2015,79,45,78,-6,18,59,282,47,3,84,pop
707,A Sky Full of Stars,Coldplay,2014,125,68,55,-6,21,16,268,1,3,60,permanent wave
708,We Are One (Ole Ola) [The Official 2014 FIFA World Cup Song],Pitbull,2014,125,94,60,-4,10,55,222,0,7,56,dance pop
709,Your Love Is My Drug,Kesha,2010,120,61,83,-4,9,76,187,1,10,69,dance pop
710,Beautiful People (feat. Khalid),Ed Sheeran,2019,93,65,64,-8,8,55,198,12,19,86,pop
711,Bloodstream,Ed Sheeran,2015,89,59,48,-6,6,27,309,20,5,52,pop
712,Kiss You,One Direction,2013,90,93,63,-3,32,91,183,2,6,73,boy band
713,Where Have You Been,Rihanna,2012,128,85,72,-6,22,44,243,0,9,68,barbadian pop
714,Love Incredible (feat. Camila Cabello),Cashmere Cat,2017,167,50,37,-9,20,21,180,6,12,59,downtempo
715,Praying,Kesha,2017,73,39,58,-7,11,32,230,49,3,77,dance pop
716,I Dont Wanna Live Forever (Fifty Shades Darker),ZAYN,2017,118,45,74,-8,33,9,245,6,6,78,dance pop
717,Toothbrush,DNCE,2016,105,79,55,-6,47,82,232,12,13,72,dance pop
718,Same Old Love,Selena Gomez,2015,98,59,67,-4,21,44,229,2,3,69,dance pop
719,Club Can't Handle Me (feat. David Guetta),Flo Rida,2010,128,87,62,-4,6,47,235,3,3,73,dance pop
720,One Call Away (feat. Tyga) - Remix,Charlie Puth,2016,91,69,75,-5,13,52,192,26,4,41,dance pop
721,Everybody Talks,Neon Trees,2013,155,92,47,-4,31,73,177,0,6,74,indie pop
722,This Is How We Do,Katy Perry,2014,96,64,69,-6,15,80,204,2,5,66,dance pop
723,If I Had You,Adam Lambert,2010,131,91,65,-4,37,79,228,1,11,59,australian pop
724,I Knew You Were Trouble.,Taylor Swift,2012,77,47,62,-7,3,68,220,0,4,77,pop
725,Anaconda,Nicki Minaj,2014,130,60,96,-6,21,65,260,7,18,50,dance pop
726,Work Bitch,Britney Spears,2013,128,82,63,-7,7,85,248,16,16,71,dance pop
727,Animals,Maroon 5,2015,190,74,28,-6,59,33,231,0,9,76,pop
728,Chandelier,Sia,2014,174,78,29,-3,7,62,216,2,7,56,australian dance
729,Applause,Lady Gaga,2013,140,78,67,-4,11,73,212,3,5,52,dance pop
730,Bad At Love,Halsey,2018,118,75,68,-4,9,61,181,6,3,78,dance pop
731,Legendary Lovers,Katy Perry,2015,126,84,62,-5,8,39,224,2,8,41,dance pop
732,Sweet Nothing (feat. Florence Welch),Calvin Harris,2013,128,93,57,-4,6,58,213,20,11,72,dance pop
733,Wiggle (feat. Snoop Dogg),Jason Derulo,2014,82,62,70,-7,16,72,193,8,25,67,dance pop
734,Same Old Love,Selena Gomez,2015,98,59,67,-4,21,44,229,2,3,69,dance pop
735,You And I,Lady Gaga,2011,127,70,52,-5,9,52,307,9,5,64,dance pop
736,Tequila,Dan + Shay,2018,86,59,47,-6,13,50,196,3,3,76,contemporary country
737,Run Away With Me,Carly Rae Jepsen,2016,119,72,56,-6,5,25,251,1,5,63,canadian pop
738,Words as Weapons,Birdy,2014,120,35,53,-9,14,19,239,28,3,44,neo mellow
739,Love On The Brain,Rihanna,2018,172,64,51,-5,8,38,224,7,5,82,barbadian pop
740,Alejandro,Lady Gaga,2010,99,80,63,-7,36,37,274,0,5,69,dance pop
741,Birthday,Katy Perry,2014,126,67,72,-5,11,84,215,9,7,65,dance pop
742,"Hey, Soul Sister",Train,2010,97,89,67,-4,8,80,217,19,4,83,neo mellow
743,Despacito - Remix,Luis Fonsi,2017,178,82,65,-4,10,82,229,23,17,76,latin
744,Tequila,Dan + Shay,2018,86,59,47,-6,13,50,196,3,3,76,contemporary country
745,People Like Us,Kelly Clarkson,2013,128,79,60,-5,36,61,259,4,4,45,dance pop
746,Everybody Talks,Neon Trees,2013,155,92,47,-4,31,73,177,0,6,74,indie pop
747,We Are Young (feat. Janelle Monáe),fun.,2012,184,64,38,-6,8,74,251,2,8,63,baroque pop
748,Do You Wanna Come Over?,Britney Spears,2016,121,70,75,-6,11,45,203,1,7,34,dance pop
749,Without You (feat. Usher),David Guetta,2011,128,61,61,-4,16,40,208,23,3,68,dance pop
750,A Little Party Never Killed Nobody (All We Got),Fergie,2014,130,62,76,-6,9,52,241,1,18,65,dance pop
751,We Are One (Ole Ola) [The Official 2014 FIFA World Cup Song],Pitbull,2014,125,94,60,-4,10,55,222,0,7,56,dance pop
752,Mmm Yeah (feat. Pitbull),Austin Mahone,2014,126,92,71,-4,27,98,232,0,4,65,dance pop
753,Roses,The Chainsmokers,2016,100,80,71,-7,31,34,227,4,6,74,electropop
754,Castle Walls (feat. Christina Aguilera),T.I.,2010,80,86,45,-5,26,58,329,7,39,49,atl hip hop
755,Anything Could Happen,Ellie Goulding,2013,103,78,70,-4,14,38,286,43,3,52,dance pop
756,Moment 4 Life - Album Version (Edited),Nicki Minaj,2011,130,88,50,-4,22,37,279,39,38,28,dance pop
757,Here,Alessia Cara,2015,120,82,38,-4,8,33,199,8,10,68,canadian contemporary r&b
758,This Is How We Do,Katy Perry,2014,96,64,69,-6,15,80,204,2,5,66,dance pop
759,Let Me Love You,DJ Snake,2017,100,72,65,-5,14,16,206,9,3,82,electronic trap
760,Girl On Fire (feat. Nicki Minaj) - Inferno Version,Alicia Keys,2013,93,81,55,-6,15,34,271,9,31,59,hip pop
761,Genie In a Bottle,Christina Aguilera,2015,176,80,63,-7,14,91,218,21,16,72,dance pop
762,Words as Weapons,Birdy,2014,120,35,53,-9,14,19,239,28,3,44,neo mellow
763,First Time,Kygo,2018,90,59,63,-7,10,68,194,20,11,71,edm
764,Paris,The Chainsmokers,2017,100,64,65,-7,9,25,222,2,3,76,electropop
765,Applause,Lady Gaga,2013,140,78,67,-4,11,73,212,3,5,52,dance pop
766,Supernova,Ansel Elgort,2018,140,62,77,-5,21,68,191,6,10,72,dance pop
767,Wish That You Were Here - From Miss Peregrines Home for Peculiar Children Original Motion Picture,Florence + The Machine,2016,94,57,37,-6,13,12,403,72,3,57,art pop
768,What About Us,P!nk,2018,114,59,39,-6,9,19,272,3,6,66,dance pop
769,Move,Little Mix,2013,121,74,85,-5,55,77,224,0,9,63,dance pop
770,Love On The Brain,Rihanna,2018,172,64,51,-5,8,38,224,7,5,82,barbadian pop
771,Steal My Girl,One Direction,2015,77,76,47,-6,14,52,227,0,4,51,boy band
772,Shout Out to My Ex,Little Mix,2016,126,75,77,-4,11,80,246,2,9,77,dance pop
773,Heroes (we could be),Alesso,2015,126,75,52,-4,24,35,210,4,6,56,big room
774,The Cure,Lady Gaga,2017,100,51,70,-5,9,52,211,8,3,71,dance pop
775,Beautiful People (feat. Khalid),Ed Sheeran,2019,93,65,64,-8,8,55,198,12,19,86,pop
776,We Can't Stop,Miley Cyrus,2013,80,62,61,-6,37,48,231,1,3,78,dance pop
777,Bon appétit,Katy Perry,2017,106,79,80,-6,22,52,228,13,6,68,dance pop
778,Grenade,Bruno Mars,2011,110,56,71,-7,12,23,223,15,6,75,pop
779,Came Here for Love,Sigala,2017,125,87,71,-3,12,72,203,3,4,70,dance pop
780,Heroes (we could be),Alesso,2015,126,75,52,-4,24,35,210,4,6,56,big room
781,Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,2013,125,68,66,-7,37,25,252,25,4,70,dance pop
782,Under Control,Calvin Harris,2013,126,92,54,-3,12,51,184,13,8,74,dance pop
783,Sexy Bitch (feat. Akon),David Guetta,2010,130,63,81,-5,13,80,196,8,5,61,dance pop
784,End Game,Taylor Swift,2018,159,59,65,-6,11,15,245,1,6,70,pop
785,First Time,Kygo,2018,90,59,63,-7,10,68,194,20,11,71,edm
786,Walks Like Rihanna,The Wanted,2013,126,82,56,-3,10,43,202,1,6,62,boy band
787,Runnin' (Lose It All),Naughty Boy,2015,139,85,32,-6,48,8,213,1,8,69,tropical house
788,Underneath the Tree,Kelly Clarkson,2013,160,81,51,-5,21,69,230,0,5,88,dance pop
789,Stay The Night - Featuring Hayley Williams Of Paramore,Zedd,2014,128,74,60,-3,9,46,217,11,4,64,complextro
790,What Lovers Do (feat. SZA),Maroon 5,2018,110,60,80,-5,10,42,200,8,6,79,pop
791,L.A.LOVE (la la),Fergie,2015,202,39,48,-8,26,27,193,2,9,0,dance pop
792,Despacito - Remix,Luis Fonsi,2017,178,82,65,-4,10,82,229,23,17,76,latin
793,Turn Up the Music,Chris Brown,2012,130,84,59,-6,16,64,228,0,10,65,dance pop
794,IDGAF,Dua Lipa,2018,97,54,84,-6,8,51,218,4,9,84,dance pop
795,Focus,Ariana Grande,2015,100,88,67,-6,44,79,211,27,24,66,dance pop
796,Señorita,Shawn Mendes,2019,117,54,76,-6,9,75,191,4,3,95,canadian pop
797,Can't Remember to Forget You (feat. Rihanna),Shakira,2014,138,81,69,-4,14,82,207,12,7,62,colombian pop
798,Final Song,MØ,2016,105,67,70,-6,8,25,236,1,3,72,dance pop
799,Sign of the Times,Harry Styles,2018,120,57,52,-5,11,21,341,3,3,72,dance pop
800,Ferrari,Bebe Rexha,2018,77,48,58,-6,10,42,213,2,3,57,dance pop
801,Misery,Maroon 5,2010,103,81,70,-5,22,73,216,0,4,65,pop
802,Baby Don't Lie,Gwen Stefani,2015,100,55,69,-5,10,26,203,1,3,52,dance pop
803,"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack",The Weeknd,2015,120,38,66,-6,10,44,252,39,3,79,canadian contemporary r&b
804,TiK ToK,Kesha,2010,120,84,76,-3,29,71,200,10,14,80,dance pop
805,Cut To The Feeling,Carly Rae Jepsen,2017,115,91,71,-3,30,65,208,1,6,69,canadian pop
806,Someone Like You,Adele,2011,135,33,56,-8,10,28,285,89,3,80,british soul
807,California Gurls,Katy Perry,2010,125,75,79,-4,18,40,235,0,5,62,dance pop
808,Praying,Kesha,2017,73,39,58,-7,11,32,230,49,3,77,dance pop
809,Adore You,Miley Cyrus,2014,120,66,58,-5,11,20,279,11,3,72,dance pop
810,Come & Get It,Selena Gomez,2013,80,79,55,-4,10,58,232,1,5,57,dance pop
811,There for You,Martin Garrix,2017,106,64,61,-8,12,13,222,12,6,76,big room
812,Him & I (with Halsey),G-Eazy,2018,88,73,59,-6,31,19,269,5,9,78,hip hop
813,Been You,Justin Bieber,2015,113,78,74,-6,32,86,199,2,7,60,canadian pop
814,Finally Found You,Enrique Iglesias,2013,128,88,62,-5,35,66,221,1,10,52,dance pop
815,Starboy,The Weeknd,2017,186,59,68,-7,14,49,230,14,28,85,canadian contemporary r&b
816,Like A G6,Far East Movement,2010,125,84,44,-8,12,78,217,1,45,72,dance pop
817,Messin' Around,Pitbull,2017,158,81,57,-5,4,78,223,2,5,51,dance pop
818,Get Low (with Liam Payne),Zedd,2017,108,93,72,-4,5,54,205,3,5,66,complextro
819,Love You Like A Love Song,Selena Gomez & The Scene,2012,117,68,86,-4,7,92,188,8,5,76,dance pop
820,Rude,MAGIC!,2014,144,76,77,-5,31,93,225,4,4,79,pop
821,Starving,Hailee Steinfeld,2016,100,62,73,-4,11,51,182,38,6,78,dance pop
822,Uptown Funk,Mark Ronson,2015,115,61,86,-7,3,93,270,1,8,82,dance pop
823,Nervous,Shawn Mendes,2018,122,62,84,-7,13,74,164,4,8,71,canadian pop
824,Antisocial (with Travis Scott),Ed Sheeran,2019,152,82,72,-5,36,91,162,13,5,78,pop
825,Partition,Beyoncé,2014,186,44,41,-12,31,17,319,3,29,65,dance pop
826,Really Don't Care,Demi Lovato,2015,121,73,71,-4,19,85,202,12,9,70,dance pop
827,Sheezus,Lily Allen,2014,130,50,78,-7,11,39,235,15,4,37,dance pop
828,Born This Way,Lady Gaga,2011,124,83,59,-5,33,49,260,0,16,73,dance pop
829,What About Us,P!nk,2018,114,59,39,-6,9,19,272,3,6,66,dance pop
830,Let Me Be Your Lover,Enrique Iglesias,2015,112,90,72,-4,6,88,238,1,13,34,dance pop
831,Yesterday (feat. Bebe Rexha),David Guetta,2015,128,78,57,-4,33,28,243,2,3,46,dance pop
832,Don't You Worry Child - Radio Edit,Swedish House Mafia,2013,129,84,61,-3,12,44,213,11,5,78,big room
833,Outta Nowhere (feat. Danny Mercer),Pitbull,2013,95,84,71,-4,21,66,207,16,3,35,dance pop
834,Club Can't Handle Me (feat. David Guetta),Flo Rida,2010,128,87,62,-4,6,47,235,3,3,73,dance pop
835,Bodak Yellow,Cardi B,2017,125,72,93,-6,35,46,224,7,11,70,pop
836,Say Something,Justin Timberlake,2018,97,63,71,-7,8,37,279,10,8,74,dance pop
837,Super Bass,Nicki Minaj,2011,127,74,77,-7,40,59,201,6,23,38,dance pop
838,What I Need (feat. Kehlani),Hayley Kiyoko,2018,104,79,63,-4,16,41,220,5,6,67,dance pop
839,Run the World (Girls),Beyoncé,2011,127,90,73,-4,37,76,236,0,14,76,dance pop
840,Memories,Maroon 5,2019,91,32,76,-7,8,57,189,84,5,99,pop
841,"Downtown (feat. Melle Mel, Grandmaster Caz, Kool Moe Dee & Eric Nally)",Macklemore & Ryan Lewis,2015,110,61,83,-4,29,71,293,9,7,70,dance pop
842,Moves Like Jagger - Studio Recording From The Voice Performance,Maroon 5,2011,128,76,72,-4,32,62,201,1,5,76,pop
843,Lust for Life (with The Weeknd),Lana Del Rey,2017,100,67,51,-9,36,27,264,58,6,54,art pop
844,Outta Nowhere (feat. Danny Mercer),Pitbull,2013,95,84,71,-4,21,66,207,16,3,35,dance pop
845,Final Song,MØ,2016,105,67,70,-6,8,25,236,1,3,72,dance pop
846,"Girls (feat. Cardi B, Bebe Rexha & Charli XCX)",Rita Ora,2018,94,69,73,-4,10,42,221,2,5,64,dance pop
847,A Sky Full of Stars,Coldplay,2014,125,68,55,-6,21,16,268,1,3,60,permanent wave
848,She Looks So Perfect,5 Seconds of Summer,2014,160,95,49,-4,33,44,202,0,13,71,boy band
849,Call Me Maybe,Carly Rae Jepsen,2012,120,58,78,-7,11,66,193,1,4,76,canadian pop
850,Chun-Li,Nicki Minaj,2018,129,73,69,-5,11,48,192,28,37,73,dance pop
851,Crying in the Club,Camila Cabello,2017,85,62,33,-6,16,60,216,33,38,75,dance pop
852,Hello,Adele,2015,158,45,48,-6,9,29,295,34,3,73,british soul
853,True Colors,Zedd,2016,126,79,57,-3,10,49,225,40,4,51,complextro
854,"Hold On, We're Going Home",Drake,2013,100,41,77,-7,7,29,228,0,10,73,canadian hip hop
855,All I Ask,Adele,2016,142,28,59,-5,15,34,272,88,3,71,british soul
856,Malibu,Miley Cyrus,2017,140,78,57,-6,8,34,232,8,6,78,dance pop
857,Don't,Ed Sheeran,2015,95,61,81,-7,64,85,220,1,7,74,pop
858,Cold (feat. Future),Maroon 5,2017,100,72,69,-6,5,41,234,14,11,72,pop
859,Titanium (feat. Sia),David Guetta,2012,126,79,60,-4,13,30,245,7,10,80,dance pop
860,Change,Christina Aguilera,2016,82,54,62,-6,13,20,187,68,8,54,dance pop
861,Good Life,OneRepublic,2011,95,69,63,-8,13,65,253,8,5,72,dance pop
862,Little Lies,Hilary Duff,2016,124,76,57,-6,4,40,204,0,6,36,dance pop
863,These Days,Rudimental,2018,92,81,65,-4,17,55,211,19,5,80,dance pop
864,One Kiss (with Dua Lipa),Calvin Harris,2018,124,86,79,-3,8,59,215,4,11,86,dance pop
865,This Is What You Came For,Calvin Harris,2016,124,93,63,-3,15,47,222,20,3,80,dance pop
866,A Little Party Never Killed Nobody (All We Got),Fergie,2013,130,62,76,-6,9,52,241,1,18,65,dance pop
867,Heartbreaker,Justin Bieber,2013,105,52,56,-7,34,58,263,14,10,61,canadian pop
868,Heart Attack,Demi Lovato,2013,174,79,50,-5,24,50,211,7,10,76,dance pop
869,I'll Show You,Justin Bieber,2015,192,61,36,-7,18,8,200,5,10,68,canadian pop
870,The Time (Dirty Bit),The Black Eyed Peas,2010,128,81,82,-8,60,44,308,7,7,70,dance pop
871,We Can't Stop,Miley Cyrus,2013,80,62,61,-6,37,48,231,1,3,78,dance pop
872,Kissing Strangers,DNCE,2018,120,74,77,-6,9,86,202,5,4,66,dance pop
873,Steal My Girl,One Direction,2015,77,76,47,-6,14,52,227,0,4,51,boy band
874,human,Christina Perri,2014,144,49,44,-6,11,25,251,13,4,68,dance pop
875,LIKE I WOULD,ZAYN,2016,113,83,56,-6,26,23,192,2,11,65,dance pop
876,Broken Arrows,Avicii,2015,116,67,63,-7,10,29,233,5,5,65,big room
877,All About That Bass,Meghan Trainor,2015,134,88,81,-4,11,96,189,5,5,65,dance pop
878,I Luh Ya Papi,Jennifer Lopez,2014,96,73,74,-6,12,59,207,45,42,28,dance pop
879,Electricity (with Dua Lipa),Silk City,2018,118,67,59,-6,34,51,238,1,5,82,edm
880,What Do You Mean?,Justin Bieber,2015,125,57,85,-8,8,79,206,59,10,79,canadian pop
881,I Got You,Bebe Rexha,2016,98,89,61,-5,9,32,192,5,5,64,dance pop
882,Atlas - From The Hunger Games: Catching Fire Soundtrack,Coldplay,2013,136,45,28,-8,11,11,236,63,3,55,permanent wave
883,I Knew You Were Trouble.,Taylor Swift,2012,77,47,62,-7,3,68,220,0,4,77,pop
884,Con Calma - Remix,Daddy Yankee,2019,94,87,74,-3,4,61,181,17,5,76,latin
885,Chained To The Rhythm,Katy Perry,2017,190,80,45,-5,20,47,238,8,17,72,dance pop
886,Want To,Dua Lipa,2018,92,69,57,-5,6,32,212,8,12,67,dance pop
887,Talk Dirty (feat. 2 Chainz),Jason Derulo,2014,100,65,76,-7,31,76,178,3,23,68,dance pop
888,Roses,The Chainsmokers,2016,100,80,71,-7,31,34,227,4,6,74,electropop
889,"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",DJ Snake,2019,96,80,84,-4,6,62,213,16,23,77,electronic trap
890,Out Of The Woods,Taylor Swift,2016,92,84,55,-7,34,34,236,0,4,66,pop
891,#Beautiful,Mariah Carey,2013,107,76,68,-5,31,45,200,29,4,51,dance pop
892,See You Again (feat. Charlie Puth),Wiz Khalifa,2015,80,48,69,-8,6,28,230,37,8,56,hip hop
893,Talk (feat. Disclosure),Khalid,2019,136,40,90,-9,6,35,198,5,13,84,alternative r&b
894,BO$$,Fifth Harmony,2015,103,87,81,-5,5,74,171,1,11,66,dance pop
895,Picky - Remix,Joey Montana,2016,186,81,70,-3,37,69,225,9,7,29,latin
896,One Kiss (with Dua Lipa),Calvin Harris,2018,124,86,79,-3,8,59,215,4,11,86,dance pop
897,The Edge Of Glory,Lady Gaga,2011,128,77,58,-6,11,36,321,0,4,67,dance pop
898,Part Of Me,Katy Perry,2012,130,92,68,-5,7,77,216,0,4,71,dance pop
899,Written in the Stars (feat. Eric Turner),Tinie Tempah,2010,91,95,64,-4,18,57,220,6,7,52,dance pop
900,Silence,Marshmello,2018,142,76,52,-3,17,29,181,26,9,82,brostep
901,Only Love Can Hurt Like This,Paloma Faith,2015,91,89,57,-5,33,31,233,10,8,69,british soul
902,Messin' Around,Pitbull,2017,158,81,57,-5,4,78,223,2,5,51,dance pop
903,Dog Days Are Over,Florence + The Machine,2010,150,81,50,-5,12,26,253,3,9,58,art pop
904,A Thousand Years,Christina Perri,2011,139,41,42,-7,11,16,285,31,3,81,dance pop
905,Where Have You Been,Rihanna,2012,128,85,72,-6,22,44,243,0,9,68,barbadian pop
906,Run Run Run,Kelly Clarkson,2015,112,37,28,-7,11,8,273,45,4,36,dance pop
907,Body Say,Demi Lovato,2016,87,74,63,-5,28,26,194,0,4,65,dance pop
908,Mercy,Shawn Mendes,2017,148,66,56,-5,11,36,209,13,8,81,canadian pop
909,I Like It,Enrique Iglesias,2010,129,94,65,-3,6,73,231,2,9,63,dance pop
910,Start,John Legend,2016,110,4,52,-15,9,26,310,99,4,47,neo mellow
911,Broken Arrows,Avicii,2015,116,67,63,-7,10,29,233,5,5,65,big room
912,Like I'm Gonna Lose You (feat. John Legend),Meghan Trainor,2016,108,53,63,-7,18,42,225,40,4,79,dance pop
913,Strip That Down (feat. Quavo),Liam Payne,2017,106,50,87,-5,8,55,202,20,5,69,dance pop
914,Wrecking Ball,Miley Cyrus,2013,120,42,53,-6,11,35,221,41,3,77,dance pop
915,Friends (with BloodPop®),Justin Bieber,2018,105,73,74,-5,30,62,189,0,4,77,canadian pop
916,Brave,Sara Bareilles,2013,185,84,55,-4,4,76,221,1,5,71,acoustic pop
917,What's My Name?,Rihanna,2011,100,79,69,-3,8,58,263,23,7,69,barbadian pop
918,Do You Wanna Come Over?,Britney Spears,2016,121,70,75,-6,11,45,203,1,7,34,dance pop
919,Youth (feat. Khalid),Shawn Mendes,2018,100,60,53,-7,13,32,191,56,12,75,canadian pop
920,Friends (with BloodPop®),Justin Bieber,2018,105,73,74,-5,30,62,189,0,4,77,canadian pop
921,Dangerous,Jennifer Hudson,2015,109,53,90,-5,8,65,255,0,5,18,dance pop
922,XO,Beyoncé,2014,170,79,47,-9,31,21,216,17,26,56,dance pop
923,Overdose,Ciara,2013,107,70,77,-6,6,79,227,1,3,43,dance pop
924,Feel This Moment (feat. Christina Aguilera),Pitbull,2013,136,76,67,-4,34,54,230,4,16,70,dance pop
925,Grenade,Bruno Mars,2011,110,56,71,-7,12,23,223,15,6,75,pop
926,Empire State of Mind (Part II) Broken Down,Alicia Keys,2010,93,37,48,-8,12,14,216,74,3,76,hip pop
927,Him & I (with Halsey),G-Eazy,2018,88,73,59,-6,31,19,269,5,9,78,hip hop
928,Bodak Yellow,Cardi B,2017,125,72,93,-6,35,46,224,7,11,70,pop
929,Break Your Heart,Taio Cruz,2010,122,90,67,-5,8,63,186,0,3,33,dance pop
930,Genie In a Bottle,Christina Aguilera,2015,176,80,63,-7,14,91,218,21,16,72,dance pop
931,Dance Again,Jennifer Lopez,2012,128,86,79,-5,10,71,237,2,7,66,dance pop
932,Not About Angels,Birdy,2014,116,14,41,-10,9,23,190,97,4,56,neo mellow
933,New Rules,Dua Lipa,2018,116,70,76,-6,15,61,209,0,7,84,dance pop
934,Castle Walls (feat. Christina Aguilera),T.I.,2010,80,86,45,-5,26,58,329,7,39,49,atl hip hop
935,Starships,Nicki Minaj,2012,125,72,75,-2,25,75,211,14,8,73,dance pop
936,The One That Got Away,Katy Perry,2012,134,80,69,-4,16,88,227,0,4,67,dance pop
937,Written in the Stars (feat. Eric Turner),Tinie Tempah,2011,91,95,64,-4,18,57,220,6,7,52,dance pop
938,I Feel It Coming,The Weeknd,2017,93,82,77,-6,7,59,269,43,12,81,canadian contemporary r&b
939,Work Bitch,Britney Spears,2013,128,82,63,-7,7,85,248,16,16,71,dance pop
940,California Gurls,Katy Perry,2010,125,75,79,-4,18,40,235,0,5,62,dance pop
941,Love You Like A Love Song,Selena Gomez & The Scene,2012,117,68,86,-4,7,92,188,8,5,76,dance pop
942,Let Me,ZAYN,2018,168,57,46,-6,10,19,185,24,5,72,dance pop
943,Take It Off,Kesha,2010,125,68,73,-5,9,74,215,0,3,66,dance pop
944,Last Friday Night (T.G.I.F.),Katy Perry,2011,126,81,65,-4,67,72,231,0,4,27,dance pop
945,Animal,Neon Trees,2010,148,83,48,-6,38,74,212,0,4,65,indie pop
946,We Are One (Ole Ola) [The Official 2014 FIFA World Cup Song],Pitbull,2014,125,94,60,-4,10,55,222,0,7,56,dance pop
947,Treasure,Bruno Mars,2014,116,69,87,-5,32,94,179,4,4,77,pop
948,Don't Be so Hard on Yourself,Jess Glynne,2015,120,82,57,-3,16,66,211,6,3,52,dance pop
949,FourFiveSeconds,Rihanna,2015,206,27,58,-6,13,35,188,88,5,80,barbadian pop
950,Con Calma - Remix,Daddy Yankee,2019,94,87,74,-3,4,61,181,17,5,76,latin
951,Spark The Fire,Gwen Stefani,2015,120,80,88,-4,20,54,202,8,6,39,dance pop
952,I Got You,Bebe Rexha,2016,98,89,61,-5,9,32,192,5,5,64,dance pop
953,Out Of The Woods,Taylor Swift,2016,92,84,55,-7,34,34,236,0,4,66,pop
954,Keeping Your Head Up,Birdy,2016,122,78,60,-5,19,53,208,16,5,52,neo mellow
955,Bad Liar,Selena Gomez,2018,121,41,97,-6,8,73,215,19,7,75,dance pop
956,Dangerous,Jennifer Hudson,2015,109,53,90,-5,8,65,255,0,5,18,dance pop
957,OMG (feat. will.i.am),Usher,2010,130,75,78,-6,36,33,269,20,3,72,atl hip hop
958,The Hills,The Weeknd,2016,113,56,58,-7,14,14,242,7,5,84,canadian contemporary r&b
959,We Don't Talk Anymore - DROELOE Remix,Charlie Puth,2017,100,82,70,-5,45,67,218,49,22,59,dance pop
960,Look What You Made Me Do,Taylor Swift,2018,128,71,77,-6,13,51,212,20,12,75,pop
961,MOVE TO MIAMI,Enrique Iglesias,2018,100,87,76,-4,7,90,169,3,5,64,dance pop
962,Partition,Beyoncé,2014,186,44,41,-12,31,17,319,3,29,65,dance pop
963,This Town,Niall Horan,2018,112,41,68,-8,12,20,233,70,3,64,dance pop
964,Best Thing I Never Had,Beyoncé,2011,99,65,55,-4,9,30,254,14,3,73,dance pop
965,Don't Stop the Party (feat. TJR),Pitbull,2012,127,96,72,-4,38,95,206,1,9,59,dance pop
966,Talk Dirty (feat. 2 Chainz),Jason Derulo,2014,100,65,76,-7,31,76,178,3,23,68,dance pop
967,43776,Beyoncé,2015,136,71,75,-5,13,56,214,1,13,72,dance pop
968,43776,Beyoncé,2015,136,71,75,-5,13,56,214,1,13,72,dance pop
969,Love The Way You Lie,Eminem,2010,87,93,75,-5,52,64,263,24,23,82,detroit hip hop
970,Reality - Radio Edit,Lost Frequencies,2015,122,70,71,-8,7,60,159,2,3,61,belgian edm
971,#SELFIE,The Chainsmokers,2014,128,92,79,-3,8,66,184,1,25,65,electropop
972,Secrets,OneRepublic,2010,148,76,52,-6,12,38,225,7,4,77,dance pop
973,Sparks,Hilary Duff,2015,122,88,85,-5,10,79,186,4,6,44,dance pop
974,Higher Love,Kygo,2019,104,68,69,-7,10,40,228,2,3,88,edm
975,Move,Little Mix,2013,121,74,85,-5,55,77,224,0,9,63,dance pop
976,Your Love Is My Drug,Kesha,2010,120,61,83,-4,9,76,187,1,10,69,dance pop
977,Heart Attack,Demi Lovato,2013,174,79,50,-5,24,50,211,7,10,76,dance pop
978,Bound To You - Burlesque Original Motion Picture Soundtrack,Christina Aguilera,2010,164,41,29,-5,13,7,264,83,3,61,dance pop
979,Call You Mine,The Chainsmokers,2019,104,70,59,-6,34,52,218,20,3,81,electropop
980,"Celebrate (From the Original Motion Picture ""Penguins of Madagascar"")",Pitbull,2015,127,85,68,-3,6,93,193,1,6,50,dance pop
981,Baby Don't Lie,Gwen Stefani,2015,100,55,69,-5,10,26,203,1,3,52,dance pop
982,Bound To You - Burlesque Original Motion Picture Soundtrack,Christina Aguilera,2010,164,41,29,-5,13,7,264,83,3,61,dance pop
983,Steal My Girl,One Direction,2015,77,76,47,-6,14,52,227,0,4,51,boy band
984,We Don't Talk Anymore - DROELOE Remix,Charlie Puth,2017,100,82,70,-5,45,67,218,49,22,59,dance pop
985,What I Need (feat. Kehlani),Hayley Kiyoko,2018,104,79,63,-4,16,41,220,5,6,67,dance pop
986,Something's Got A Hold On Me - Burlesque Original Motion Picture Soundtrack,Christina Aguilera,2010,150,85,51,-4,12,72,185,47,27,58,dance pop
987,Swish Swish,Katy Perry,2017,120,71,84,-5,10,57,243,2,4,73,dance pop
988,"Feel The Light - From The ""Home"" Soundtrack",Jennifer Lopez,2015,156,60,47,-6,9,4,292,33,5,55,dance pop
989,I Don't Care (with Justin Bieber),Ed Sheeran,2019,102,68,80,-5,9,84,220,9,4,85,pop
